title,p10,q1,median,q3,p90,average,company_industry,correct_job_level,state
Data Scientist,37000,41400,47000,55500,64600,48600,Information Technology IT,Junior,ST
Data Scientist,38300,44800,53000,62600,72800,54800,Information Technology IT,Junior,RP
Data Scientist,37000,41600,47300,56000,65100,49000,Information Technology IT,Junior,MV
Data Scientist,37200,43600,51500,60900,70800,53300,Information Technology IT,Junior,HB
Data Scientist,40000,46800,55400,65400,76000,57300,Information Technology IT,Junior,BY
Data Scientist,39500,46200,54600,64500,75100,56500,Information Technology IT,Junior,NW
IT Software Architekt,57300,68400,83200,101300,120800,87200,Information Technology IT,Senior,
IT Software Architekt,60000,70300,83900,100100,117400,87200,Information Technology IT,Senior,BW
IT Software Architekt,57400,65500,75800,90400,106000,78700,Information Technology IT,Senior,BB
IT Software Architekt,60800,71200,85000,101400,118900,88300,Information Technology IT,Senior,HE
IT Software Architekt,61000,71500,85400,101800,119400,88700,Information Technology IT,Senior,NW
IT Software Architekt,57400,64000,72200,86100,100900,75000,Information Technology IT,Senior,SN
IT Software Architekt,57400,65700,76300,91100,106800,79300,Information Technology IT,Senior,TH
IT Software Architekt,57300,68400,83200,101300,120800,87200,Information Technology IT,Senior,
IT Software Architekt,50000,59500,72100,87400,103900,75400,Information Technology IT,Mid,
IT Software Architekt,53000,61900,73600,87600,102300,76400,Information Technology IT,Mid,HE
IT Software Architekt,48900,55600,64000,76100,88900,66400,Information Technology IT,Mid,MV
IT Software Architekt,52400,61200,72800,86500,101100,75500,Information Technology IT,Mid,NI
IT Software Architekt,53300,62300,74100,88000,102900,76800,Information Technology IT,Mid,NW
IT Software Architekt,51800,60500,72000,85600,100000,74700,Information Technology IT,Mid,RP
IT Software Architekt,50800,59400,70600,83900,98100,73200,Information Technology IT,Mid,SL
IT Software Architekt,50000,59500,72100,87400,103900,75400,Information Technology IT,Mid,
IT Software Architekt,39000,46100,55500,66900,79100,57900,Information Technology IT,Junior,
IT Software Architekt,40700,47400,56000,66200,77000,58000,Information Technology IT,Junior,BW
IT Software Architekt,42000,48900,57800,68300,79500,59800,Information Technology IT,Junior,BY
IT Software Architekt,39300,45700,54100,63900,74400,56000,Information Technology IT,Junior,BE
IT Software Architekt,38700,43900,50500,59800,69500,52300,Information Technology IT,Junior,BB
IT Software Architekt,39100,45500,53800,63600,73900,55600,Information Technology IT,Junior,HB
IT Software Architekt,41300,48100,56800,67200,78200,58800,Information Technology IT,Junior,HH
Redakteur/Content Manager,45300,54100,65800,80000,95500,68900,Communication Public Relations,Senior,
Redakteur/Content Manager,45800,53700,64100,76400,89600,66500,Communication Public Relations,Senior,BE
Redakteur/Content Manager,48300,56600,67500,80600,94500,70200,Communication Public Relations,Senior,HH
Redakteur/Content Manager,47500,55700,66500,79400,93000,69100,Communication Public Relations,Senior,NI
Redakteur/Content Manager,46300,54200,64700,77200,90600,67200,Communication Public Relations,Senior,SL
Redakteur/Content Manager,47200,55400,66100,78800,92400,68600,Communication Public Relations,Senior,SH
Redakteur/Content Manager,49000,57400,68500,81800,95900,71200,Communication Public Relations,Senior,BY
Redakteur/Content Manager,45600,53500,63800,76100,89300,66300,Communication Public Relations,Senior,HB
Redakteur/Content Manager,45300,54100,65800,80000,95500,68900,Communication Public Relations,Senior,
Redakteur/Content Manager,39000,46400,56200,68100,81000,58800,Communication Public Relations,Mid,
Redakteur/Content Manager,42100,49200,58500,69600,81300,60700,Communication Public Relations,Mid,BY
Redakteur/Content Manager,39200,45900,54500,64800,75800,56600,Communication Public Relations,Mid,HB
Redakteur/Content Manager,38000,43200,49900,59300,69300,51700,Communication Public Relations,Mid,MV
Redakteur/Content Manager,40400,47200,56100,66700,77900,58200,Communication Public Relations,Mid,RP
Redakteur/Content Manager,38200,44000,51500,61300,71600,53500,Communication Public Relations,Mid,TH
Redakteur/Content Manager,37900,43100,49800,59200,69100,51600,Communication Public Relations,Mid,ST
Redakteur/Content Manager,37700,42600,48600,57800,67600,50500,Communication Public Relations,Mid,SN
Redakteur/Content Manager,39000,46400,56200,68100,81000,58800,Communication Public Relations,Mid,
Redakteur/Content Manager,33300,39600,47700,57400,67900,49700,Communication Public Relations,Junior,
Redakteur/Content Manager,34900,40700,48100,56900,66100,49800,Communication Public Relations,Junior,BW
Redakteur/Content Manager,32800,37400,43400,51300,59700,44900,Communication Public Relations,Junior,BB
Redakteur/Content Manager,35400,41200,48700,57600,67000,50500,Communication Public Relations,Junior,HE
Redakteur/Content Manager,35500,41400,48900,57900,67300,50700,Communication Public Relations,Junior,NW
Redakteur/Content Manager,32400,36300,41200,48700,56600,42600,Communication Public Relations,Junior,SN
Redakteur/Content Manager,32800,37700,43800,51800,60300,45400,Communication Public Relations,Junior,TH
Redakteur/Content Manager,36000,42000,49600,58700,68300,51400,Communication Public Relations,Junior,BY
Redakteur/Content Manager,33500,39100,46200,54600,63500,47800,Communication Public Relations,Junior,HB
Redakteur/Content Manager,33700,39300,46400,54900,63900,48100,Communication Public Relations,Junior,BE
Referent Unternehmenskommunikation/PR,48300,57700,70200,85400,101900,73500,Communication Public Relations,Senior,
Referent Unternehmenskommunikation/PR,47500,54700,63900,76300,89400,66400,Communication Public Relations,Senior,BB
Referent Unternehmenskommunikation/PR,48600,57000,68100,81200,95200,70700,Communication Public Relations,Senior,HB
Referent Unternehmenskommunikation/PR,51500,60400,72000,86000,100800,74800,Communication Public Relations,Senior,HH
Referent Unternehmenskommunikation/PR,51200,60100,71700,85500,100300,74500,Communication Public Relations,Senior,HE
Referent Unternehmenskommunikation/PR,47300,53800,62100,74100,86900,64500,Communication Public Relations,Senior,MV
Referent Unternehmenskommunikation/PR,50700,59500,70900,84600,99200,73700,Communication Public Relations,Senior,NI
Referent Unternehmenskommunikation/PR,51400,60300,72000,85900,100700,74800,Communication Public Relations,Senior,NW
Referent Unternehmenskommunikation/PR,50100,58700,70100,83600,98100,72800,Communication Public Relations,Senior,RP
Referent Unternehmenskommunikation/PR,49400,57900,69000,82400,96600,71700,Communication Public Relations,Senior,SL
Referent Unternehmenskommunikation/PR,48300,57700,70200,85400,101900,73500,Communication Public Relations,Senior,
Referent Unternehmenskommunikation/PR,41300,49000,59400,72100,85700,62200,Communication Public Relations,Mid,
Referent Unternehmenskommunikation/PR,44600,52100,61900,73600,86100,64200,Communication Public Relations,Mid,BY
Referent Unternehmenskommunikation/PR,41500,48500,57700,68600,80100,59800,Communication Public Relations,Mid,HB
Referent Unternehmenskommunikation/PR,41100,46300,52700,62700,73300,54700,Communication Public Relations,Mid,MV
Referent Unternehmenskommunikation/PR,42700,49900,59300,70600,82500,61600,Communication Public Relations,Mid,RP
Referent Unternehmenskommunikation/PR,41100,46200,52600,62600,73100,54600,Communication Public Relations,Mid,ST
Referent Unternehmenskommunikation/PR,43900,51300,61000,72500,84700,63200,Communication Public Relations,Mid,HH
Referent Unternehmenskommunikation/PR,43900,51300,61000,72600,84800,63300,Communication Public Relations,Mid,NW
Referent Unternehmenskommunikation/PR,41300,49000,59400,72100,85700,62200,Communication Public Relations,Mid,
Referent Unternehmenskommunikation/PR,33800,40000,48200,58100,68700,50300,Communication Public Relations,Junior,
Referent Unternehmenskommunikation/PR,34400,39900,47000,55600,64600,48600,Communication Public Relations,Junior,BE
Referent Unternehmenskommunikation/PR,35900,41800,49400,58400,67900,51100,Communication Public Relations,Junior,HH
Referent Unternehmenskommunikation/PR,35400,41200,48700,57600,66900,50400,Communication Public Relations,Junior,NI
Referent Unternehmenskommunikation/PR,34300,39900,47200,55800,64900,48800,Communication Public Relations,Junior,SL
Referent Unternehmenskommunikation/PR,35500,39500,44400,52500,61000,45900,Communication Public Relations,Junior,TH
Referent Unternehmenskommunikation/PR,35300,41100,48600,57400,66800,50300,Communication Public Relations,Junior,SH
Referent Unternehmenskommunikation/PR,36900,39100,41700,49300,57300,43100,Communication Public Relations,Junior,SN
Spezialist Investor Relations,61200,73000,88800,108100,129000,93100,Communication Public Relations,Senior,
Spezialist Investor Relations,59400,69000,81500,97200,113900,84600,Communication Public Relations,Senior,TH
Spezialist Investor Relations,58700,67400,78600,93700,109900,81600,Communication Public Relations,Senior,ST
Spezialist Investor Relations,63800,74800,89200,106400,124800,92700,Communication Public Relations,Senior,SH
Spezialist Investor Relations,58400,66600,77000,91900,107700,80000,Communication Public Relations,Senior,SN
Spezialist Investor Relations,62500,73200,87400,104300,122300,90800,Communication Public Relations,Senior,SL
Spezialist Investor Relations,63400,74400,88700,105900,124100,92200,Communication Public Relations,Senior,RP
Spezialist Investor Relations,65100,76300,91100,108700,127400,94600,Communication Public Relations,Senior,NW
Spezialist Investor Relations,61600,72200,86100,102800,120500,89500,Communication Public Relations,Senior,HB
Spezialist Investor Relations,50800,60400,73200,88700,105500,76600,Communication Public Relations,Mid,
Spezialist Investor Relations,51600,60300,71600,85200,99500,74300,Communication Public Relations,Mid,SL
Spezialist Investor Relations,61200,73000,88800,108100,129000,93100,Communication Public Relations,Senior,
Spezialist Investor Relations,52600,61500,73100,86900,101500,75800,Communication Public Relations,Mid,RP
Spezialist Investor Relations,54100,63200,75200,89400,104400,78000,Communication Public Relations,Mid,NW
Spezialist Investor Relations,51300,59900,71300,84700,99000,73900,Communication Public Relations,Mid,BE
Spezialist Investor Relations,54000,63100,75100,89200,104300,77900,Communication Public Relations,Mid,HH
Spezialist Investor Relations,53200,62100,73900,87900,102700,76600,Communication Public Relations,Mid,NI
Spezialist Investor Relations,41400,49600,59800,72100,85200,62400,Communication Public Relations,Junior,
Spezialist Investor Relations,50800,60400,73200,88700,105500,76600,Communication Public Relations,Mid,
Spezialist Investor Relations,43500,51000,60400,71400,83000,62500,Communication Public Relations,Junior,BW
Spezialist Investor Relations,44800,52700,62300,73200,84600,64300,Communication Public Relations,Junior,BY
Spezialist Investor Relations,41900,49300,58300,68900,80100,60300,Communication Public Relations,Junior,BE
Spezialist Investor Relations,41700,49000,57900,68500,79700,60000,Communication Public Relations,Junior,HB
Spezialist Investor Relations,39800,46400,54500,64400,74900,56400,Communication Public Relations,Junior,BB
Spezialist Investor Relations,44100,51800,61300,72400,84200,63400,Communication Public Relations,Junior,HH
Spezialist Investor Relations,39500,45600,53200,63000,73200,55100,Communication Public Relations,Junior,MV
Spezialist Investor Relations,44000,51700,61200,72300,84100,63300,Communication Public Relations,Junior,HE
Spezialist Investor Relations,44200,51900,61400,72600,84400,63600,Communication Public Relations,Junior,NW
Leitung Strategie,68600,82900,102300,126100,152400,107900,Business Planning Development,Lead,BW
Leitung Strategie,71700,86600,106800,131800,159200,112700,Business Planning Development,Lead,BY
Leitung Strategie,66900,80800,99700,123000,148600,105200,Business Planning Development,Lead,BE
Leitung Strategie,64300,77000,94100,116100,140200,99300,Business Planning Development,Lead,BB
Leitung Strategie,67900,82000,101100,124700,150700,106700,Business Planning Development,Lead,HB
Leitung Strategie,71300,86100,106200,131000,158300,112100,Business Planning Development,Lead,HH
Leitung Strategie,70300,84900,104800,129200,156100,110600,Business Planning Development,Lead,HE
Leitung Strategie,63500,75000,90300,111400,134500,95300,Business Planning Development,Lead,MV
Leitung Strategie,69600,84100,103700,128000,154600,109500,Business Planning Development,Lead,NI
Leitung Strategie,70900,85700,105700,130300,157400,111500,Business Planning Development,Lead,NW
Leitung Strategie,69100,83400,102900,126900,153300,108600,Business Planning Development,Lead,RP
Leitung Strategie,67500,81500,100500,124000,149800,106100,Business Planning Development,Lead,SL
Leitung Strategie,63200,74200,88800,109500,132300,93700,Business Planning Development,Lead,SN
Leitung Strategie,63700,75500,91100,112400,135800,96200,Business Planning Development,Lead,ST
Leitung Strategie,69000,83300,102800,126800,153100,108500,Business Planning Development,Lead,SH
Leitung Strategie,64300,77300,94700,116800,141100,99900,Business Planning Development,Lead,TH
Expert Expansion,55600,66400,80800,98300,117300,84700,Business Planning Development,Senior,
Expert Expansion,57700,67700,80700,96300,112900,83900,Business Planning Development,Senior,RP
Expert Expansion,55600,62600,71500,85300,100000,74300,Business Planning Development,Senior,ST
Expert Expansion,55600,62600,71500,85300,100000,74300,Business Planning Development,Senior,MV
Expert Expansion,56000,65700,78400,93500,109600,81400,Business Planning Development,Senior,HB
Expert Expansion,60200,70500,84200,100400,117800,87400,Business Planning Development,Senior,BY
Expert Expansion,55600,66400,80800,98300,117300,84700,Business Planning Development,Senior,
Expert Expansion,46700,55500,67300,81500,97000,70400,Business Planning Development,Mid,
Expert Expansion,48900,57100,67900,80700,94400,70400,Business Planning Development,Mid,BW
Expert Expansion,50500,59000,70100,83300,97400,72700,Business Planning Development,Mid,BY
Expert Expansion,47100,55100,65500,77900,91000,67900,Business Planning Development,Mid,BE
Expert Expansion,45900,52600,61100,72600,84900,63400,Business Planning Development,Mid,BB
Expert Expansion,47000,54900,65300,77600,90700,67700,Business Planning Development,Mid,HB
Expert Expansion,49700,58000,69000,82000,95900,71600,Business Planning Development,Mid,HH
Expert Expansion,49500,57800,68700,81700,95500,71300,Business Planning Development,Mid,HE
Expert Expansion,45700,51900,59700,71000,82900,61900,Business Planning Development,Mid,MV
Expert Expansion,48900,57100,67900,80800,94400,70400,Business Planning Development,Mid,NI
Expert Expansion,46700,55500,67300,81500,97000,70400,Business Planning Development,Mid,
Expert Expansion,40300,47600,57400,69100,81700,59800,Business Planning Development,Junior,
Expert Expansion,42800,49800,58900,69600,81000,60900,Business Planning Development,Junior,NW
Expert Expansion,41600,48300,57200,67600,78600,59200,Business Planning Development,Junior,RP
Expert Expansion,40800,47400,56100,66300,77200,58100,Business Planning Development,Junior,SL
Expert Expansion,40100,44300,49500,58600,68100,51300,Business Planning Development,Junior,SN
Expert Expansion,40100,44800,50700,59900,69700,52500,Business Planning Development,Junior,ST
Expert Expansion,42000,48800,57700,68300,79400,59800,Business Planning Development,Junior,SH
Expert Expansion,40200,45700,52800,62400,72500,54600,Business Planning Development,Junior,TH
Spezialist Digitalisierung,48900,59600,72500,88200,105200,76000,Business Planning Development,Senior,
Spezialist Digitalisierung,53100,63300,75500,90100,105600,78400,Business Planning Development,Senior,BY
Spezialist Digitalisierung,49500,58900,70300,83900,98300,73000,Business Planning Development,Senior,HB
Spezialist Digitalisierung,48600,55700,64100,76500,89700,66600,Business Planning Development,Senior,MV
Spezialist Digitalisierung,51000,60700,72400,86400,101300,75200,Business Planning Development,Senior,RP
Spezialist Digitalisierung,48600,55700,64100,76500,89700,66600,Business Planning Development,Senior,ST
Spezialist Digitalisierung,49700,59100,70600,84200,98700,73300,Business Planning Development,Senior,BE
Spezialist Digitalisierung,48600,55100,62800,75000,87900,65300,Business Planning Development,Senior,SN
Spezialist Digitalisierung,48900,59600,72500,88200,105200,76000,Business Planning Development,Senior,
Spezialist Digitalisierung,40500,49100,60000,72700,86400,62700,Business Planning Development,Mid,
Spezialist Digitalisierung,42500,50600,60500,72000,84100,62800,Business Planning Development,Mid,BW
Spezialist Digitalisierung,39700,46400,54500,64700,75700,56500,Business Planning Development,Mid,BB
Spezialist Digitalisierung,43300,51500,61600,73200,85600,63900,Business Planning Development,Mid,NW
Spezialist Digitalisierung,43000,51200,61300,72800,85100,63500,Business Planning Development,Mid,HE
Spezialist Digitalisierung,39300,45100,51900,61700,72100,53900,Business Planning Development,Mid,SN
Spezialist Digitalisierung,43900,52200,62500,74300,86800,64800,Business Planning Development,Mid,BY
Spezialist Digitalisierung,39800,46700,55000,65400,76400,57100,Business Planning Development,Mid,TH
Spezialist Digitalisierung,40900,48600,58200,69200,80900,60400,Business Planning Development,Mid,HB
Spezialist Digitalisierung,42500,50600,60500,72000,84100,62800,Business Planning Development,Mid,NI
Spezialist Digitalisierung,40500,49100,60000,72700,86400,62700,Business Planning Development,Mid,
Spezialist Digitalisierung,42500,50600,60500,72000,84100,62800,Business Planning Development,Mid,BW
Spezialist Digitalisierung,39700,46400,54500,64700,75700,56500,Business Planning Development,Mid,BB
Spezialist Digitalisierung,43300,51500,61600,73200,85600,63900,Business Planning Development,Mid,NW
Spezialist Digitalisierung,43000,51200,61300,72800,85100,63500,Business Planning Development,Mid,HE
Spezialist Digitalisierung,39300,45100,51900,61700,72100,53900,Business Planning Development,Mid,SN
Spezialist Digitalisierung,43900,52200,62500,74300,86800,64800,Business Planning Development,Mid,BY
Spezialist Digitalisierung,39800,46700,55000,65400,76400,57100,Business Planning Development,Mid,TH
Spezialist Digitalisierung,40900,48600,58200,69200,80900,60400,Business Planning Development,Mid,HB
Spezialist Digitalisierung,42500,50600,60500,72000,84100,62800,Business Planning Development,Mid,NI
Spezialist Digitalisierung,37300,44100,52600,62200,72300,54400,Business Planning Development,Junior,NW
Spezialist Digitalisierung,37200,43900,52400,62000,72000,54200,Business Planning Development,Junior,HE
Spezialist Digitalisierung,34900,42100,51200,61700,73000,53400,Business Planning Development,Junior,
Spezialist Digitalisierung,40500,49100,60000,72700,86400,62700,Business Planning Development,Mid,
Spezialist Digitalisierung,41300,49100,58700,69800,81600,60900,Business Planning Development,Mid,SL
Spezialist Digitalisierung,34900,42100,51200,61700,73000,53400,Business Planning Development,Junior,
Spezialist Digitalisierung,35400,41900,49900,59000,68600,51600,Business Planning Development,Junior,BE
Spezialist Digitalisierung,37200,44000,52500,62000,72200,54300,Business Planning Development,Junior,HH
Spezialist Digitalisierung,36700,43400,51700,61100,71100,53500,Business Planning Development,Junior,NI
Spezialist Digitalisierung,35500,42000,50100,59300,68900,51900,Business Planning Development,Junior,SL
Spezialist Digitalisierung,36600,43300,51600,61000,70900,53400,Business Planning Development,Junior,SH
Spezialist Digitalisierung,34700,39500,45300,53500,62300,46900,Business Planning Development,Junior,ST
Spezialist Digitalisierung,36200,42800,51100,60400,70200,52800,Business Planning Development,Junior,RP
Außendienstmitarbeiter Vertrieb,44200,52700,64100,78100,93100,67200,Sales Operation Distribution,Senior,
Außendienstmitarbeiter Vertrieb,46200,54200,64700,77200,90500,67200,Sales Operation Distribution,Senior,BW
Außendienstmitarbeiter Vertrieb,47800,56000,66800,79700,93500,69400,Sales Operation Distribution,Senior,BY
Außendienstmitarbeiter Vertrieb,44700,52300,62500,74500,87400,64900,Sales Operation Distribution,Senior,BE
Außendienstmitarbeiter Vertrieb,44000,50300,58400,69700,81700,60700,Sales Operation Distribution,Senior,BB
Außendienstmitarbeiter Vertrieb,44500,52100,62200,74200,87000,64600,Sales Operation Distribution,Senior,HB
Außendienstmitarbeiter Vertrieb,47100,55200,65900,78600,92100,68400,Sales Operation Distribution,Senior,HH
Außendienstmitarbeiter Vertrieb,46800,54900,65500,78200,91700,68100,Sales Operation Distribution,Senior,HE
Außendienstmitarbeiter Vertrieb,44000,49600,56800,67700,79400,59000,Sales Operation Distribution,Senior,MV
Außendienstmitarbeiter Vertrieb,44200,52700,64100,78100,93100,67200,Sales Operation Distribution,Senior,
Außendienstmitarbeiter Vertrieb,39000,46400,56200,68100,81000,58800,Sales Operation Distribution,Mid,
Außendienstmitarbeiter Vertrieb,37200,42700,49900,59300,69300,51700,Sales Operation Distribution,Mid,MV
Außendienstmitarbeiter Vertrieb,40800,47700,56700,67400,78800,58800,Sales Operation Distribution,Mid,NI
Außendienstmitarbeiter Vertrieb,39000,46400,56200,68100,81000,58800,Sales Operation Distribution,Mid,
Außendienstmitarbeiter Vertrieb,41500,48500,57700,68600,80200,59900,Sales Operation Distribution,Mid,NW
Außendienstmitarbeiter Vertrieb,40400,47200,56100,66700,77900,58200,Sales Operation Distribution,Mid,RP
Außendienstmitarbeiter Vertrieb,39600,46300,55000,65400,76400,57000,Sales Operation Distribution,Mid,SL
Außendienstmitarbeiter Vertrieb,36800,42000,48600,57800,67600,50500,Sales Operation Distribution,Mid,SN
Außendienstmitarbeiter Vertrieb,39000,46400,56200,68100,81000,58800,Sales Operation Distribution,Mid,
Außendienstmitarbeiter Vertrieb,30100,35600,42900,51700,61100,44800,Sales Operation Distribution,Junior,
Außendienstmitarbeiter Vertrieb,28400,32500,37900,44800,52100,39200,Sales Operation Distribution,Junior,ST
Außendienstmitarbeiter Vertrieb,31400,36500,43200,51100,59400,44700,Sales Operation Distribution,Junior,SH
Außendienstmitarbeiter Vertrieb,28900,33500,39500,46700,54300,40800,Sales Operation Distribution,Junior,TH
Außendienstmitarbeiter Vertrieb,31500,36600,43300,51200,59600,44800,Sales Operation Distribution,Junior,BW
Außendienstmitarbeiter Vertrieb,32500,37800,44700,52800,61500,46200,Sales Operation Distribution,Junior,BY
Außendienstmitarbeiter Vertrieb,30400,35400,41800,49400,57500,43300,Sales Operation Distribution,Junior,BE
Außendienstmitarbeiter Vertrieb,28800,33300,39100,46200,53700,40400,Sales Operation Distribution,Junior,BB
Außendienstmitarbeiter Vertrieb,30100,35600,42900,51700,61100,44800,Sales Operation Distribution,Junior,
Key-Account-Manager,53600,64000,77800,94700,113000,81600,Sales Operation Distribution,Senior,
Key-Account-Manager,56800,66600,79500,94900,111200,82600,Sales Operation Distribution,Senior,HE
Key-Account-Manager,52800,59900,68900,82200,96300,71500,Sales Operation Distribution,Senior,MV
Key-Account-Manager,56200,65900,78700,93900,110100,81700,Sales Operation Distribution,Senior,NI
Key-Account-Manager,54200,63500,75800,90400,106000,78700,Sales Operation Distribution,Senior,BE
Key-Account-Manager,57100,67000,79900,95300,111800,83000,Sales Operation Distribution,Senior,HH
Key-Account-Manager,53000,61000,71400,85200,99800,74100,Sales Operation Distribution,Senior,TH
Key-Account-Manager,53600,64000,77800,94700,113000,81600,Sales Operation Distribution,Senior,
Key-Account-Manager,48500,57600,69800,84600,100600,73100,Sales Operation Distribution,Mid,
Key-Account-Manager,50400,58900,70000,83200,97300,72600,Sales Operation Distribution,Mid,SH
Key-Account-Manager,49200,57500,68400,81300,95000,70900,Sales Operation Distribution,Mid,SL
Key-Account-Manager,50700,59300,70500,83800,97900,73100,Sales Operation Distribution,Mid,NI
Key-Account-Manager,51500,60200,71600,85100,99500,74300,Sales Operation Distribution,Mid,HH
Key-Account-Manager,48900,57200,68000,80800,94500,70500,Sales Operation Distribution,Mid,BE
Key-Account-Manager,46500,52700,60500,71900,84000,62700,Sales Operation Distribution,Mid,SN
Key-Account-Manager,48500,57600,69800,84600,100600,73100,Sales Operation Distribution,Mid,
Key-Account-Manager,38700,45800,55200,66400,78600,57500,Sales Operation Distribution,Junior,
Key-Account-Manager,40500,47100,55700,65800,76500,57600,Sales Operation Distribution,Junior,BW
Key-Account-Manager,41800,48600,57400,67900,79000,59400,Sales Operation Distribution,Junior,BY
Key-Account-Manager,39100,45400,53700,63500,73900,55600,Sales Operation Distribution,Junior,BE
Key-Account-Manager,38100,43400,50200,59400,69100,52000,Sales Operation Distribution,Junior,BB
Key-Account-Manager,38900,45200,53400,63200,73500,55300,Sales Operation Distribution,Junior,HB
Key-Account-Manager,41100,47800,56500,66800,77700,58500,Sales Operation Distribution,Junior,HH
Key-Account-Manager,41200,47900,56600,67000,77900,58600,Sales Operation Distribution,Junior,NW
Key-Account-Manager,38700,45800,55200,66400,78600,57500,Sales Operation Distribution,Junior,
Leitung Vertrieb,64400,77800,96000,118600,143300,101400,Sales Operation Distribution,Lead,BW
Leitung Vertrieb,67300,81300,100300,123800,149700,105900,Sales Operation Distribution,Lead,BY
Leitung Vertrieb,62800,75900,93700,115600,139800,98900,Sales Operation Distribution,Lead,BE
Leitung Vertrieb,60400,72300,88400,109100,131900,93300,Sales Operation Distribution,Lead,BB
Leitung Vertrieb,63700,77000,95000,117200,141700,100300,Sales Operation Distribution,Lead,HB
Leitung Vertrieb,66900,80800,99800,123200,148900,105300,Sales Operation Distribution,Lead,HH
Leitung Vertrieb,66000,79700,98400,121500,146800,103900,Sales Operation Distribution,Lead,HE
Leitung Vertrieb,59700,70500,84800,104700,126500,89500,Sales Operation Distribution,Lead,MV
Leitung Vertrieb,65300,78900,97400,120300,145400,102900,Sales Operation Distribution,Lead,NI
Leitung Vertrieb,66500,80400,99200,122500,148100,104800,Sales Operation Distribution,Lead,NW
Leitung Vertrieb,64800,78300,96600,119300,144200,102000,Sales Operation Distribution,Lead,RP
Leitung Vertrieb,63300,76500,94400,116500,140900,99700,Sales Operation Distribution,Lead,SL
Leitung Vertrieb,59400,69800,83400,102900,124400,88000,Sales Operation Distribution,Lead,SN
Leitung Vertrieb,59800,70900,85600,105700,127700,90400,Sales Operation Distribution,Lead,ST
Leitung Vertrieb,64700,78200,96500,119200,144000,101900,Sales Operation Distribution,Lead,SH
Leitung Vertrieb,60400,72600,88900,109800,132700,93900,Sales Operation Distribution,Lead,TH
Leitung Marketing,64600,78000,96300,118800,143600,101600,Marketing,Lead,BW
Leitung Marketing,67500,81500,100600,124100,150000,106200,Marketing,Lead,BY
Leitung Marketing,63000,76100,93900,115900,140100,99100,Marketing,Lead,BE
Leitung Marketing,59700,72000,88600,109400,132200,93600,Marketing,Lead,BB
Leitung Marketing,63900,77200,95200,117500,142000,100500,Marketing,Lead,HB
Leitung Marketing,67100,81100,100000,123400,149200,105600,Marketing,Lead,HH
Leitung Marketing,66200,79900,98700,121800,147100,104100,Marketing,Lead,HE
Leitung Marketing,58700,70000,85000,104900,126800,89700,Marketing,Lead,MV
Leitung Marketing,65500,79200,97700,120600,145700,103100,Marketing,Lead,NI
Leitung Marketing,66700,80600,99500,122800,148400,105000,Marketing,Lead,NW
Leitung Marketing,65000,78500,96900,119600,144500,102300,Marketing,Lead,RP
Leitung Marketing,63500,76700,94600,116800,141200,99900,Marketing,Lead,SL
Leitung Marketing,58300,69100,83600,103200,124700,88300,Marketing,Lead,SN
Leitung Marketing,58900,70400,85800,105900,128000,90600,Marketing,Lead,ST
Leitung Marketing,64900,78400,96800,119400,144400,102200,Marketing,Lead,SH
Leitung Marketing,59900,72300,89200,110100,133000,94100,Marketing,Lead,TH
Marketing Analyst,47200,56300,68500,83400,99500,71800,Marketing,Senior,
Marketing Analyst,47700,55900,66700,79600,93400,69300,Marketing,Senior,BE
Marketing Analyst,50300,59000,70400,84000,98400,73100,Marketing,Senior,HH
Marketing Analyst,49500,58100,69300,82700,96900,72000,Marketing,Senior,NI
Marketing Analyst,48200,56500,67400,80500,94300,70100,Marketing,Senior,SL
Marketing Analyst,49200,57700,68800,82100,96300,71500,Marketing,Senior,SH
Marketing Analyst,51000,59800,71400,85200,99900,74200,Marketing,Senior,BY
Marketing Analyst,45700,51800,59400,70900,83100,61700,Marketing,Senior,SN
Marketing Analyst,47200,56300,68500,83400,99500,71800,Marketing,Senior,
Marketing Analyst,39800,47300,57300,69500,82600,60000,Marketing,Mid,
Marketing Analyst,43000,50200,59700,71000,83000,62000,Marketing,Mid,BY
Marketing Analyst,40000,46800,55600,66100,77300,57700,Marketing,Mid,HB
Marketing Analyst,38700,44100,50900,60500,70700,52800,Marketing,Mid,MV
Marketing Analyst,41200,48100,57200,68000,79500,59400,Marketing,Mid,RP
Marketing Analyst,38700,44000,50800,60300,70500,52600,Marketing,Mid,ST
Marketing Analyst,42300,49400,58800,69900,81700,61000,Marketing,Mid,HH
Marketing Analyst,41600,48700,57900,68800,80400,60000,Marketing,Mid,BW
Marketing Analyst,39800,47300,57300,69500,82600,60000,Marketing,Mid,
Marketing Analyst,32400,38600,46500,56000,66300,48500,Marketing,Junior,
Marketing Analyst,34000,39700,46900,55500,64600,48600,Marketing,Junior,BW
Marketing Analyst,32000,36500,42400,50100,58200,43800,Marketing,Junior,BB
Marketing Analyst,34500,40200,47600,56300,65400,49200,Marketing,Junior,HE
Marketing Analyst,34600,40400,47800,56500,65700,49400,Marketing,Junior,NW
Marketing Analyst,31600,35400,40200,47500,55300,41600,Marketing,Junior,SN
Marketing Analyst,33600,39200,46400,54800,63800,48000,Marketing,Junior,RP
Marketing Analyst,32000,36700,42800,50600,58800,44300,Marketing,Junior,TH
Marketing Analyst,33900,39600,46800,55400,64400,48500,Marketing,Junior,SH
Spezialist Online Werbung,46300,55300,67300,81900,97700,70500,Marketing,Senior,
